title,publishedAt,viewCount,likeCount,commentCount
[シャドウバース]守護持ち開闢の預言者が4体！！ジャイアントマッチ開闢チャット！[ゆっくり実況],2020-09-22T11:19:56Z,86671,970,174
[シャドウバース]新旧フラムグラス夢の共演！！新旧フラムグラスOTK！[ゆっくり実況],2022-03-28T11:22:24Z,78022,1075,176
[シャドウバース]守護もアミュレットも全部消滅からの20点パンチ！イザルエOTK！[ゆっくり実況],2019-09-30T11:23:43Z,223459,1613,347
[シャドウバース]攻撃時一撃２０ダメージ！！ガンダゴウザ単体OTK！[ゆっくり実況],2021-01-07T11:16:37Z,68925,739,176
[シャドウバース]1ターンでカードを5000枚プレイ！！スタッツ４００００タムリン！[ゆっくり実況],2021-11-05T11:02:52Z,196364,3651,472
[シャドウバース]スタッツ７/７の不死身守護5面！！絶対守護者モルディカイ！[ゆっくり実況],2022-03-12T11:23:00Z,67608,862,122
[シャドウバース]エンネアリメイク記念！！最新版絶対守護者マンマル１号！[ゆっくり実況],2021-06-25T10:30:47Z,80383,932,207
[シャドウバース]1コスト3点疾走を7連打！！霊体の侵入OTK！[ゆっくり実況],2022-01-24T11:10:05Z,77479,1208,273
[シャドウバース]光輝ドラゴン5体で鉄壁の盤面！！割と触れられる光輝！[ゆっくり実況],2021-11-13T11:00:15Z,126134,1392,221
[シャドウバース]160点疾走！！天窮ガルミーユOTK！[ゆっくり実況],2022-02-11T11:41:19Z,79636,1112,178
[シャドウバース]体力８０の守護！妖精竜パメラで絶対守護！[ゆっくり実況],2020-03-01T12:15:17Z,78982,766,207
[シャドウバース]ヤケクソ運任せじゃんけん！！5連オルオーン！[ゆっくり実況],2022-01-28T11:30:29Z,94514,1285,254
[シャドウバース]カイザーインサイト投げてたら5勝してたグランプリ[ゆっくり実況],2021-06-21T10:00:28Z,73243,948,225
[シャドウバース]バニー＆バロンを劇的な撤退で使い回す！！4連バニー＆バロンOTK！[ゆっくり実況],2020-10-10T10:50:05Z,61427,756,182
[シャドウバース]遂にこいつの出番…！滅殺の鎧OTK！[ゆっくり実況],2019-07-21T10:01:24Z,80366,687,236
[シャドウバース]イランツァ5体も出せばOTK出来る！ジャイアントマッチイランツァOTK！[ゆっくり実況],2020-07-24T08:59:55Z,88587,906,182
[シャドウバース]もうボッチじゃない！トリプルマゼルベインOTK！[ゆっくり実況],2019-12-24T11:21:01Z,70359,684,230
[シャドウバース]1コスト3ダメージのぶっ壊れスペルを量産！！真なる斬撃OTK！[ゆっくり実況],2021-08-11T10:00:00Z,77746,967,191
[シャドウバース]スタッツ８０の守護5面！！天窮ロキオラクルドラゴンで絶対守護者！[ゆっくり実況],2021-08-23T12:00:01Z,156417,1452,251
[シャドウバース]5ターン目にアスタロトもディースも0コストで撃ち放題！！5想像の具現化サタンOTK！[ゆっくり実況],2021-11-29T10:35:39Z,119363,1590,234
[シャドウバース]手札のコスト5増やされたら流石に返せない天窮ワールドブレイクフィルレイン！[ゆっくり実況],2021-12-28T11:14:11Z,96244,1268,193
[シャドウバース]７ターン目に選択不可の４０/４０！巨兵パメラでスタッツの暴力！[ゆっくり実況],2020-05-21T10:38:52Z,56646,780,256
[シャドウバース]1コスト3ダメージと化したルルナイを7連打！！ルルナイOTK！[ゆっくり実況],2022-02-05T11:17:02Z,74388,1056,204
[シャドウバース]ついにこいつでもOTK出来る時代に！操り人形OTK！[ゆっくり実況],2019-09-27T10:31:01Z,60962,656,203
[ゆっくり実況]確率崩壊！？アイテムが１００％キノコだったレース[マリオカート8DX],2022-05-10T11:00:04Z,26253,686,153
[シャドウバース]帰ってきたリーシェナ！！5連新約黒の章OTK！[ゆっくり実況],2022-02-02T10:30:10Z,83533,1019,225
[シャドウバース]6ターン目キャルキャルキャル対戦ありがとうございました。混沌キャルOTK！[ゆっくり実況],2021-06-16T09:30:01Z,103692,1330,359
